ID,Work Item Type,Title,State,Priority,Tags,Area Path,Iteration Path,Assigned To,Description,Acceptance Criteria,Custom.Modulo,Custom.Layer,Custom.Gate,Custom.ADRs,Custom.GMUD,Custom.Slug
,Epic,NovaTech Assistant — Governança de Specs,Active,1,gmud;sdd;novatech,NovaTech Assistant,NovaTech Assistant\Estruturação,,Acompanhamento do ciclo de vida de specs SDD para os 5 módulos do projeto. Fluxo: Rascunho → Em Revisão → Aprovada → Em Implementação → Validada.,Todos os 5 módulos com specs aprovadas antes do início de implementação.,Todos,,,,
,Feature,M1 — Pipeline de Ingestão,Rascunho,1,pipeline;ingestao;rag;gmud:t2,NovaTech Assistant,NovaTech Assistant\Sprint 1,PS / TL,"Extração, chunking, embedding e indexação de 847 documentos (PDF, DOCX, XLSX, HTML) no Azure AI Search. Módulo base do RAG.","requirements.md aprovado pelo TL. plan.md aprovado por PS e Dev Sr. tasks.md aprovado por TL e QA. Acurácia RAG ≥ 85% no dataset de 200 perguntas.",M1,requirements=Não iniciado;plan=Não iniciado;tasks=Não iniciado,Pendente,"ADR-0001;ADR-0002;ADR-0004",,pipeline-ingestao
,Feature,M2 — API de Busca (Query Endpoint),Rascunho,1,api;query;rag;azure-functions;gmud:t2,NovaTech Assistant,NovaTech Assistant\Sprint 1,PS / TL,Azure Function HTTP que recebe pergunta do atendente executa retrieval no AI Search e geração via GPT-4o retornando resposta com fonte e nível de confiança.,"requirements.md aprovado. plan.md aprovado. tasks.md aprovado. Latência p95 < 3s. Zero hallucinations detectadas no dataset de validação.",M2,requirements=Não iniciado;plan=Não iniciado;tasks=Não iniciado,Pendente,"ADR-0001;ADR-0002;ADR-0003",,query-endpoint
,Feature,M3 — API de Feedback,Rascunho,2,api;feedback;cosmos;gmud:t1,NovaTech Assistant,NovaTech Assistant\Sprint 2,PS / TL,Endpoint para atendente reportar resposta incorreta. Registra evento no Cosmos DB com contexto da consulta para análise de qualidade e re-avaliação contínua do RAG.,"requirements.md aprovado. plan.md aprovado. tasks.md aprovado. Registro persistido no Cosmos DB. Resposta em < 500ms.",M3,requirements=Não iniciado;plan=Não iniciado;tasks=Não iniciado,Pendente,ADR-0001,,feedback-api
,Feature,M4 — Bot do Teams,Rascunho,1,teams;bot;bot-framework;gmud:t2,NovaTech Assistant,NovaTech Assistant\Sprint 2,PS / TL,Bot conversacional no Microsoft Teams via Bot Framework. Adaptive Cards para resposta com fonte e botão de feedback inline. Interface principal dos 45 atendentes NovaTech.,"requirements.md aprovado (com wireframes do Claude Design anexados). plan.md aprovado. tasks.md aprovado. Bot funcional no Teams tenant da NovaTech.",M4,requirements=Não iniciado;plan=Não iniciado;tasks=Não iniciado,Pendente,ADR-0001,,teams-bot
,Feature,M5 — Painel Web,Rascunho,3,react;dashboard;metricas;gmud:t1,NovaTech Assistant,NovaTech Assistant\Sprint 3,PS / TL,Dashboard React com métricas de uso do assistente histórico de consultas acurácia por categoria e visualização de feedbacks. Interface para gestores NovaTech.,"requirements.md aprovado. plan.md aprovado. tasks.md aprovado. Dashboard acessível e com dados em tempo real.",M5,requirements=Não iniciado;plan=Não iniciado;tasks=Não iniciado,Nenhum,ADR-0001,,painel-web
,User Story,M1-REQ — requirements.md pipeline-ingestao,Rascunho,1,requirements;m1;ps,NovaTech Assistant,NovaTech Assistant\Sprint 1,PS (Product Specialist),"Escrever specs/pipeline-ingestao/requirements.md seguindo template de governança. Cobrir: extração de texto (PDF/DOCX/XLSX/HTML), chunking semântico com overlap, geração de embeddings, indexação no Azure AI Search, pipeline de reindexação automática.","Documento criado com todos os RFs numerados. Critérios de aceite verificáveis. Fora de escopo declarado. Status atualizado para Em Revisão após abertura do PR.",M1,requirements,Pendente — Gate 1: TL,ADR-0004,,pipeline-ingestao
,User Story,M1-PLN — plan.md pipeline-ingestao,Rascunho,1,plan;m1;tl,NovaTech Assistant,NovaTech Assistant\Sprint 1,TL (Tech Lead),"Escrever specs/pipeline-ingestao/plan.md após aprovação do requirements. Definir: componentes extractor.ts, chunker.ts, embedder.ts, indexer.ts — interfaces TypeScript, fluxo de dados, estratégia de chunking (semântico + overlap), tratamento de tabelas escaneadas.","Todos os RFs do requirements cobertos. Interfaces TypeScript definidas. ADR-0004 referenciado para estratégia de chunking. Aprovado por PS e Dev Sr.",M1,plan,Bloqueado — requer M1-REQ aprovado,ADR-0001;ADR-0004,,pipeline-ingestao
,User Story,M1-TSK — tasks.md pipeline-ingestao,Rascunho,1,tasks;m1;dev-sr,NovaTech Assistant,NovaTech Assistant\Sprint 1,Dev Sênior,"Decompor plan.md em tasks atômicas com Claude + Copilot. Cada task: input/output definidos, critério de done com checklist, referência ao parágrafo do plan, estimativa em horas, item no Azure DevOps.","Todas as tasks rastreáveis ao plan. Cada task com critério de done. Cobertura de teste definida por task. Aprovado por TL e QA.",M1,tasks,Bloqueado — requer M1-PLN aprovado,ADR-0001;ADR-0004,,pipeline-ingestao
,User Story,M2-REQ — requirements.md query-endpoint,Rascunho,1,requirements;m2;ps,NovaTech Assistant,NovaTech Assistant\Sprint 1,PS (Product Specialist),"Escrever specs/query-endpoint/requirements.md. Cobrir: recebimento de pergunta em linguagem natural, retrieval com citação de fonte, context budget (ADR-0002), tratamento de docs contraditórios (ADR-0003), fallback quando retrieval vazio.","Documento com RFs numerados e critérios verificáveis. RNF de latência (< 3s p95) incluído. Status Em Revisão após PR.",M2,requirements,Pendente — Gate 1: TL,ADR-0001;ADR-0002;ADR-0003,,query-endpoint
,User Story,M2-PLN — plan.md query-endpoint,Rascunho,1,plan;m2;tl,NovaTech Assistant,NovaTech Assistant\Sprint 1,TL (Tech Lead),"Escrever specs/query-endpoint/plan.md. Componentes: handler.ts, validator.ts (Zod), response-builder.ts, prompt-builder.ts. Definir fluxo: recebe pergunta → valida → busca AI Search → monta prompt → chama GPT-4o → retorna com fonte.","Interfaces TypeScript para request/response. ADRs 0001/0002/0003 referenciados. Aprovado por PS e Dev Sr.",M2,plan,Bloqueado — requer M2-REQ aprovado,ADR-0001;ADR-0002;ADR-0003,,query-endpoint
